Personnel number,Full name of the performer,Hangar,Date,Order number,Customer,Customer ID number,Type of service,Car make,Car model,Type of work,Cost of parts (rub),Cost of work (rub),Total cost (rub)
001,Ivanov I.I.,1,2023-01-29,1029,Savelyev S.S.,00129,Maintenance,Cadillac,ATS,Filter replacement,370.00,570.00,940.00
002,Petrov P.P.,2,2023-01-30,1030,Kasyanov K.K.,00130,Repair,Land Rover,Discovery,Replacement of brake pads,1300.00,1600.00,2900.00
003,Sidorov S.S.,3,2023-01-31,1031,Mironov M.M.,00131,Maintenance,Bugatti,Chiron,Oil change,650.00,1150.00,1800.00
004,Kuznetsov K.K.,4,2023-02-01,1032,Novikov N.N.,00132,Repair,Porsche,911,Turbine repair,9000.00,5500.00,14500.00
001,Ivanov I.I.,1,2023-02-02,1033,Rusakov R.R.,00133,Maintenance,Lamborghini,Aventador,Replacement of spark plugs,950.00,800.00,1750.00
002,Petrov P.P.,2,2023-02-03,1034,Zverev Z.Z.,00134,Repair,Ferrari,488,Replacement of brake discs,3200.00,1900.00,5100.00
003,Sidorov S.S.,3,2023-02-04,1035,Serov S.S.,00135,Maintenance,Aston Martin,DB11,Oil change,600.00,1100.00,1700.00
004,Kuznetsov K.K.,4,2023-02-05,1036,Molchanov M.M.,00136,Repair,Maserati,Quattroporte,Engine repair,7500.00,4800.00,12300.00
001,Ivanov I.I.,1,2023-02-06,1037,Vorobiev V.V.,00137,Maintenance,Bentley,Continental,Filter replacement,390.00,590.00,980.00
002,Petrov P.P.,2,2023-02-07,1038,Kiselev K.K.,00138,Repair,Rolls-Royce,Phantom,Timing belt replacement,1700.00,2200.00,3900.00
003,Sidorov S.S.,3,2023-02-08,1039,Kornilov K.K.,00139,Maintenance,McLaren,720S,Oil change,560.00,1060.00,1620.00
004,Kuznetsov K.K.,4,2023-02-09,1040,Sysoev S.S.,00140,Repair,Koenigsegg,Jesko,Electronics repair,7300.00,5100.00,12400.00
001,Ivanov I.I.,1,2023-02-10,1041,Fomichev F.F.,00141,Maintenance,Pagani,Huayra,Filter replacement,400.00,600.00,1000.00
002,Petrov P.P.,2,2023-02-11,1042,Davydov D.D.,00142,Repair,Bugatti,Divo,Replacement of brake pads,1400.00,1700.00,3100.00
